informe,comunidad autónoma,dosis Pfizer,dosis Pfizer pediátrica,dosis Moderna,dosis AstraZeneca,dosis Janssen,dosis entregadas,dosis administradas,% sobre entregadas,personas con al menos una dosis,personas con pauta completa,% pautas incompletas,personas con dosis adicionales,última vacuna registrada
04/01/2021,Andalucía,140.295,,,,,140.295,25.809,"18,4%",,,,,03/01/2021
04/01/2021,Aragón,23.715,,,,,23.715,2.004,"8,5%",,,,,02/01/2021
04/01/2021,Asturias,23.720,,,,,23.720,9.380,"39,5%",,,,,03/01/2021
04/01/2021,Baleares,8.940,,,,,8.940,153,"1,7%",,,,,28/12/2020
04/01/2021,Canarias,20.835,,,,,20.835,4.846,"23,2%",,,,,03/01/2021
04/01/2021,Cantabria,11.850,,,,,11.850,304,"2,6%",,,,,30/12/2020
04/01/2021,Castilla y Leon,51.390,,,,,51.390,10.928,"21,2%",,,,,03/01/2021
04/01/2021,Castilla La Mancha,35.550,,,,,35.550,1.983,"5,6%",,,,,03/01/2021
04/01/2021,Cataluña,120.545,,,,,120.545,8.150,"6,8%",,,,,03/01/2021
04/01/2021,C. Valenciana,61.225,,,,,61.225,3.252,"5,3%",,,,,03/01/2021
04/01/2021,Extremadura,21.725,,,,,21.725,686,"3,2%",,,,,03/01/2021
04/01/2021,Galicia,37.555,,,,,37.555,9.124,"24,3%",,,,,02/01/2021
04/01/2021,La Rioja,5.915,,,,,5.915,324,"5,5%",,,,,31/12/2020
04/01/2021,Madrid,89.040,,,,,89.040,2.883,"3,2%",,,,,03/01/2021
04/01/2021,Murcia,25.685,,,,,25.685,442,"1,7%",,,,,04/01/2021
04/01/2021,Navarra,6.975,,,,,6.975,1.583,"22,7%",,,,,04/01/2021
04/01/2021,País Vasco,31.605,,,,,31.605,396,"1,3%",,,,,02/01/2021
04/01/2021,Ceuta,1.005,,,,,1.005,380,"37,8%",,,,,31/12/2020
04/01/2021,Melilla,1.005,,,,,1.005,207,"20,6%",,,,,30/12/2020
04/01/2021,Totales,718.575,,,,,718.575,82.834,"11,5%",,,,,
05/01/2021,Andalucía,140.295,,,,,140.295,40.263,"28,7%",,,,,04/01/2021
05/01/2021,Aragón,23.715,,,,,23.715,2.985,"12,6%",,,,,04/01/2021
05/01/2021,Asturias,23.720,,,,,23.720,12.929,"54,5%",,,,,05/01/2021
05/01/2021,Baleares,12.840,,,,,12.840,2.656,"20,7%",,,,,04/01/2021
05/01/2021,Canarias,27.660,,,,,27.660,5.857,"21,2%",,,,,04/01/2021
05/01/2021,Cantabria,11.850,,,,,11.850,601,"5,1%",,,,,05/01/2021
05/01/2021,Castilla y Leon,51.390,,,,,51.390,16.430,"32,0%",,,,,04/01/2021
05/01/2021,Castilla La Mancha,35.550,,,,,35.550,4.092,"11,5%",,,,,04/01/2021
05/01/2021,Cataluña,120.545,,,,,120.545,11.191,"9,3%",,,,,04/01/2021
05/01/2021,C. Valenciana,61.225,,,,,61.225,8.586,"14,0%",,,,,05/01/2021
05/01/2021,Extremadura,21.725,,,,,21.725,1.806,"8,3%",,,,,04/01/2021
05/01/2021,Galicia,37.555,,,,,37.555,12.012,"32,0%",,,,,04/01/2021
05/01/2021,La Rioja,5.915,,,,,5.915,585,"9,9%",,,,,04/01/2021
05/01/2021,Madrid,98.790,,,,,98.790,5.335,"5,4%",,,,,04/01/2021
05/01/2021,Murcia,25.685,,,,,25.685,4.949,"19,3%",,,,,05/01/2021
